RX,RY,RZ,TX,TY,TZ
1.10802,-1.54122,-2.00607,-437.723,-2063.48,1550.08
1.10136,-1.54206,-2.01996,-441.061,-2066.42,1548.43
1.0973,-1.54784,-2.02448,-444.214,-2069.25,1546.78
1.09379,-1.55339,-2.03119,-447.268,-2071.96,1545.1
1.09001,-1.55693,-2.03677,-450.326,-2074.63,1543.54
1.0883,-1.56045,-2.04377,-453.266,-2077.21,1541.84
1.08522,-1.56548,-2.04693,-456.186,-2079.69,1540.25
1.08796,-1.575,-2.04656,-458.936,-2082.11,1538.5
1.0796,-1.57538,-2.05633,-461.711,-2084.28,1536.88
1.0755,-1.57878,-2.06473,-464.281,-2086.38,1535.17
1.07153,-1.58503,-2.06641,-466.86,-2088.38,1533.52
1.07202,-1.59172,-2.07019,-469.332,-2090.34,1531.66
1.0645,-1.59434,-2.07879,-471.786,-2092.17,1530.01
1.06635,-1.60027,-2.07886,-474.187,-2093.98,1528.14
1.06308,-1.60329,-2.08323,-476.554,-2095.72,1526.44
1.05841,-1.60332,-2.08879,-478.918,-2097.41,1524.58
1.05904,-1.60818,-2.09008,-481.156,-2099.06,1522.76
1.055,-1.61099,-2.09241,-483.458,-2100.58,1520.91
1.05515,-1.6153,-2.09239,-485.651,-2102.1,1519.03
1.05296,-1.61911,-2.09293,-487.79,-2103.56,1517.23
1.0531,-1.62536,-2.09111,-489.931,-2104.9,1515.31
1.05096,-1.62629,-2.09385,-491.925,-2106.2,1513.5
1.05058,-1.62828,-2.09634,-493.964,-2107.33,1511.61
1.05259,-1.63407,-2.0925,-495.908,-2108.49,1509.86
1.05384,-1.63589,-2.09236,-497.868,-2109.6,1508.07
1.05478,-1.63607,-2.09322,-499.763,-2110.56,1506.34
1.05792,-1.63809,-2.09022,-501.607,-2111.5,1504.7
1.06047,-1.63854,-2.09058,-503.364,-2112.37,1503.06
1.06835,-1.64222,-2.08223,-505.016,-2113.22,1501.46
1.06866,-1.64199,-2.08338,-506.655,-2113.92,1500.01
1.07891,-1.64725,-2.07294,-508.214,-2114.63,1498.46
1.07814,-1.64551,-2.07596,-509.744,-2115.17,1497.18
1.08107,-1.6448,-2.07432,-511.196,-2115.69,1495.88
1.08921,-1.64933,-2.06733,-512.442,-2116.17,1494.68
1.0888,-1.64957,-2.0675,-513.664,-2116.57,1493.57
1.09374,-1.65243,-2.06329,-514.717,-2116.85,1492.47
1.09521,-1.65503,-2.06031,-515.606,-2117.05,1491.47
1.09785,-1.65811,-2.057,-516.37,-2117.13,1490.53
1.0989,-1.65878,-2.05653,-517.031,-2117.14,1489.7
1.0998,-1.66541,-2.05274,-517.581,-2117.03,1489.05
1.1008,-1.66957,-2.04884,-517.876,-2116.85,1488.41
